YEAR,AGE,TOTAL,ELE&UND,JUNIOR,SENIOR,INDUSTRY,JUNCOLL,UNIVERSITY,GRADUATE
100,15~29,491146,23536,65092,44638,133573,63868,140484,19954
100,15~24,108735,158,7679,10046,31577,7233,50746,1296
100,15~19,15531,0,2667,2729,9242,67,826,0
100,20~24,93204,158,5012,7317,22335,7166,49920,1296
100,25~29,111614,445,5741,6795,23625,12645,51516,10848
101,15~29,480607,21013,61773,42352,119709,59501,151134,25126
101,15~24,113068,58,7547,10186,30013,6363,57547,1356
101,15~19,13279,0,3126,2227,6804,382,740,0
101,20~24,99790,58,4421,7959,23210,5981,56807,1356
101,25~29,107763,86,5467,6666,19082,11228,52490,12744
102,15~29,478005,20018,61434,40369,116594,58040,156527,25024
102,15~24,118594,0,8506,9743,29826,6399,61727,2392
102,15~19,12371,0,2049,2073,7119,558,571,0
102,20~24,106223,0,6457,7670,22707,5842,61156,2392
102,25~29,104856,58,5430,6439,17701,8547,53876,12804
103,15~29,456701,16378,53788,36516,109880,57575,158224,24339
103,15~24,111879,54,6761,8734,28708,5710,60173,1739
103,15~19,10714,39,2246,1623,6412,69,326,0
103,20~24,101165,15,4515,7111,22296,5641,59848,1739
103,25~29,97235,0,5170,6896,13739,7699,52061,11669
104,15~29,440060,14085,44529,37351,109751,51080,157815,25449
104,15~24,108952,0,3532,10236,27730,5900,59838,1716
104,15~19,10782,0,1023,2560,6407,219,572,0
104,20~24,98170,0,2509,7676,21323,5681,59266,1716
104,25~29,92042,116,3303,5733,13952,5632,50173,13134
105,15~29,459593,16976,47053,39513,110303,53948,164932,26868
105,15~24,112246,0,5311,8061,24559,6504,65074,2737
105,15~19,11196,0,2365,2383,5779,43,627,0
105,20~24,101050,0,2946,5679,18781,6461,64447,2737
105,25~29,94639,19,3036,5794,16873,3663,53412,11843
106,15~29,443393,15411,43088,38272,105198,51490,163689,26244
106,15~24,112439,0,3177,8051,29639,6308,63219,2045
106,15~19,10670,0,940,2040,7246,0,444,0
106,20~24,101769,0,2237,6011,22393,6308,62774,2045
106,25~29,93002,46,2733,7808,13937,5049,53677,9753
