YEAR,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65UP
82,17,45,28,14,9,6,3,3,2,1,0
83,19,46,32,18,10,8,4,3,2,1,0
84,21,49,37,20,14,10,6,4,2,1,0
85,27,62,52,31,24,20,12,7,5,2,0
86,26,63,53,32,27,22,16,10,6,2,0
87,26,66,52,31,26,22,17,9,5,2,0
88,27,67,54,36,31,26,21,11,6,2,0
89,25,69,54,38,34,28,22,12,7,2,0
90,34,97,77,62,57,48,40,23,10,4,0
91,32,112,94,69,59,58,47,29,11,4,0
92,27,104,93,61,55,57,50,34,15,7,0
93,23,98,87,56,47,48,42,34,13,6,0
94,20,92,92,53,43,42,39,29,13,5,1
95,18,86,97,56,43,37,31,26,12,4,0
96,17,86,96,59,42,43,34,25,12,3,0
97,18,92,105,61,45,40,39,29,16,4,0
98,19,108,144,95,70,64,61,47,26,6,0
99,15,99,132,87,61,57,57,40,24,5,0
100,16,93,112,74,50,46,44,32,20,6,0
101,13,100,108,74,52,42,38,29,18,7,0
102,12,106,105,72,53,38,38,28,19,6,0
103,11,101,97,69,52,39,35,27,19,6,0
104,11,98,92,67,52,35,35,27,17,6,0
105,11,101,95,61,58,40,37,28,18,9,0
106,11,102,93,54,56,41,34,27,16,10,0
